a3d22982-536b-40b7-a150-b1617c677c5a,2063.5,107.0,-3471.5
a3d22982-536b-40b7-a150-b1617c677c5a,-872.5,73.0,3762.5
a3d22982-536b-40b7-a150-b1617c677c5a,-2577.5,84.0,-2751.5
7ed563da-0b01-4c44-ac4d-bd9cb773f259,-494.5,44.0,3647.5
7ed563da-0b01-4c44-ac4d-bd9cb773f259,-3415.5,46.0,-152.5
7ed563da-0b01-4c44-ac4d-bd9cb773f259,-1951.5,46.0,-1502.5
b679a834-3de6-41c8-844c-dd68a673d530,1470.5,60.0,5242.5
b679a834-3de6-41c8-844c-dd68a673d530,3201.5,59.0,-6468.5
b679a834-3de6-41c8-844c-dd68a673d530,-2652.5,59.0,4175.5
36b358fa-bc44-4785-ab5f-aa6ad2f0df5b,4310.5,38.0,-1651.5
36b358fa-bc44-4785-ab5f-aa6ad2f0df5b,-4061.5,32.0,-571.5
36b358fa-bc44-4785-ab5f-aa6ad2f0df5b,1778.5,38.0,-839.5
3f9d9692-a47b-426e-9a99-021dd5e54531,4778.5,59.0,-3057.5
3f9d9692-a47b-426e-9a99-021dd5e54531,4510.5,65.0,-694.5
3f9d9692-a47b-426e-9a99-021dd5e54531,-2526.5,57.0,1733.5
1c0fc519-7496-461c-8b5e-a0d37bb42769,1707.5,-60.0,2764.5
1c0fc519-7496-461c-8b5e-a0d37bb42769,4877.5,-60.0,3964.5
1c0fc519-7496-461c-8b5e-a0d37bb42769,-2499.5,-60.0,4665.5
